"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"描述：所有测试模块","10","test_register[case1]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","16","test_register[case0]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：所有测试模块","9","test_register[case13]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","29","test_register[case51]","testcases.parent","2025-09-24","passed","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case12]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case10]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case2]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","321","test_register[case1]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：所有测试模块","10","test_register[case6]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","2","test_register[case19]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case15]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case17]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","87","test_register[case6]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：所有测试模块","8","test_register[case24]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case46]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","9","test_register[case7]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：所有测试模块","9","test_register[case37]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","10","test_register[case3]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","10","test_register[case4]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case14]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case45]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case42]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case18]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","34","test_register[case50]","testcases.parent","2025-09-24","passed","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case20]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","8","test_register[case5]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：所有测试模块","19","test_register[case9]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","2","test_register[case41]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case44]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","10","test_register[case2]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：登录测试模块","79","test_register[case3]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：所有测试模块","9","test_register[case39]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case31]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case0]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","86","test_register[case2]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：所有测试模块","13","test_register[case7]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","9","test_register[case1]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：所有测试模块","10","test_register[case27]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case30]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case26]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case29]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","13","test_register[case8]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case5]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","10","test_register[case3]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：所有测试模块","8","test_register[case40]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case25]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case21]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case34]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case47]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","1","test_register[case23]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","30","test_register[case53]","testcases.parent","2025-09-24","passed","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","9","test_register[case11]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","90","test_register[case4]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：登录测试模块","9","test_register[case6]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：登录测试模块","55","test_register[case7]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：登录测试模块","35","test_register[case0]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：所有测试模块","9","test_register[case48]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","9","test_register[case4]","testcases.parent","2025-09-24","broken","2025-09-24","","test_1_login_parent","",""
"描述：所有测试模块","14","test_register[case28]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","2","test_register[case22]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","10","test_register[case38]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","1","test_register[case35]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：登录测试模块","71","test_register[case5]","testcases.student","2025-09-24","passed","2025-09-24","","test_1_register","",""
"描述：所有测试模块","9","test_register[case43]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","27","test_register[case52]","testcases.parent","2025-09-24","passed","2025-09-24","","test_2_all_parent","",""
"描述：所有测试模块","8","test_register[case16]","testcases.parent","2025-09-24","broken","2025-09-24","","test_2_all_parent","",""
